"","a","b","c","b.intraA","b.interS","c.intraA","c.interS","sigma"
"Prunus polystachya",0.0515151123730739,1.16181536562767,0.0680413900080348,0.0853888903366375,-0.146025440622208,-0.0121780278271252,0.00380416181425734,0.124675919303418
"Pternandra coerulescens",0.0502650548000434,0.515331403170861,0.0163730928764675,0.00944094606021662,-0.108350455425578,0.00674480686933052,0.00190516665982303,0.124675919303418
"Rhodamnia cinerea",0.0493112437270776,0.320925288556722,0.0100673510101603,-0.056098585249333,-0.046564887967455,0.00744175820318934,0.00707074594352494,0.124675919303418
"Strombosia ceylanica",0.054480876387663,0.637113801949763,0.03140050652657,-0.0341890044368244,-0.0550859693367963,-0.000887598970954634,0.00237442137439054,0.124675919303418
"Symplocos fasciculata",0.0525189499752138,0.870993813684051,0.0587054261354319,0.0457872460698034,-0.0946917787404008,-0.00287345060578198,7.9596215579794e-05,0.124675919303418
"Syzygium lineatum",0.0529248148303664,0.890250758815147,0.00684587835737516,0.0600622709292693,-0.0730559230327466,0.00459874154330941,0.0182077108045356,0.124675919303418
"Xanthophyllum flavescens",0.0527799966867712,0.690324665039574,0.0224183806167747,-0.0290983950065161,-0.078326364844658,0.00151526029101868,0.00946947264487294,0.124675919303418
"Xylopia malayana",0.0515369407263637,0.555792110744347,0.0546443869454829,-0.0273205496805096,-0.0916906034195196,-0.00540113480007091,-0.00689999855690502,0.124675919303418
"other.spp",0.0450049619232533,0.725429414123217,0.0123371539329384,-0.0179237389718836,-0.108942383735932,0.00191116500796246,0.00567592487326222,0.124675919303418
"population",0.0522748711322092,0.720767607292108,0.0443579856859214,-0.0221283090569935,-0.0770234314866798,-0.00221560330126395,-0.000962874010230161,0.124675919303418
